Domain,IP,Port
google.com,142.250.200.46,"443,80"
gstatic.com,,"443,80"
google.co.uk,,"443,80"
googleusercontent.com,,"443,80"
appspot.com,,"443,80"
googleapis.com,,"443,80"
oauth2.googleapis.com,,"443,80"
identitytoolkit.googleapis.com,,"443,80"
securetoken.googleapis.com,,"443,80"
accounts.googleapis.com,,"443,80"
artifactory.vodafone.com,,"443,80"
docker.io,,"443,80"
apt.releases.hashicorp.com,,"443,80"
gcr.iosnapcraftcontent.com,,"443,80"
snapcraft.io,,"443,80"
email-smtp.eu-west-1.amazonaws.com,,"443,80"
www.googletagmanager.com,,"443,80"
www.googleadservices.com,,"443,80"
pkg.dev,,"443,80"
gcr.io,,"443,80"
eu.gcr.io,,"443,80"
pypi.org,,"443,80"
pythonhosted.org,,"443,80"
updates.jenkins-ci.org,,"443,80"
mirror.serverion.com,,"443,80"
ifconfig.me,,"443,80"
gvp.vault.neuron.bdp.vodafone.com,,"443,80"
outbound-proxy.neuron.shared-services.vf.local,,"443,80"
apache.org,,"443,80"
maven.org,,"443,80"
vfuk-digital.pkgs.visualstudio.com,,"443,80"
repository.cloudera.com,,"443,80"
archive.cloudera.com,,"443,80"
packages.confluent.io,,"443,80"
cran.rstudio.com,,"443,80"
download.osgeo.org,,"443,80"
dl.bintray.com,,"443,80"
repository.jboss.org,,"443,80"
repository.mapr.com,,"443,80"
nuget.org,,"443,80"
oss.sonatype.org,,"443,80"
repo.eclipse.org,,"443,80"
repo.spring.io,,"443,80"
maven.twttr.com,,"443,80"
links.sonatype.com,,"443,80"
rhc-pro.sonatype.com,,"443,80"
clm.sonatype.com,,"443,80"
download.sonatype.com,,"443,80"
sonatype-download.global.ssl.fastly.net,,"443,80"
pypi.python.org,,"443,80"
files.pythonhosted.org,,"443,80"
releases.hashicorp.com,,"443,80"
repo.boundlessgeo.com,,"443,80"
jcenter.bintray.com,,"443,80"
adoptium.net,,"443,80"
harbor.vodafone.com,,"443,80"
internal.harbor.vodafone.com,,"443,80"
adoptium.jfrog.io,,"443,80"
alpha-apps.neuron.bdp.vodafone.com,,"443,80"
api.alpha-constellation.vodafone.com,,"443,80"
api.beta-constellation.vodafone.com,,"443,80"
github.vodafone.com,,"443,80"
githubusercontent.com,,"443,80"
debian.org,,"443,80"
cloud.r-project.org,,"443,80"
debian.map.fastlydns.net,,"443,80"
developer.download.nvidia.com,,"443,80"
download.docker.com,,"443,80"
download.nvidia.com,,"443,80"
ftp-chi.osuosl.org,,"443,80"
ftp-nyc.osuosl.org,,"443,80"
ftp.halifax.rwth-aachen.de,,"443,80"
get.jenkins.io,,"443,80"
github.com,,"443,80"
tunnel.cloudproxy.app,,"443,80"
dl-cdn.alpinelinux.org,,"443,80"
ubuntu.com,,"443,80"
mirror.gruenehoelle.nlmirror.xmission.com,,"443,80"
mirrors.jenkins-ci.org,,"443,80"
npmjs.org,,"443,80"
yarnpkg.com,,"443,80"
build.shibboleth.net,,"443,80"
repo.mysql.com,,"443,80"
unofficial-builds.nodejs.org,,"443,80"
updates.jenkins.io,,"443,80"
repo.anaconda.com,,"443,80"
repo.continuum.io,,"443,80"
jdbc.postgresql.org,,"443,80"
python.org,,"443,80"
151.101.0.0/16,,"443,80"